Cluster_ID,Booking_Count,Severity,Top_City,Top_State,Centroid_Lat,Centroid_Long,Radius_km,Hull_Available,All_Pincodes,Num_Pincodes,Primary_Pincode,Address_Types,Sample_Area,Estimated_Loss_INR
3,18,High,Pune,Maharashtra,18.666701,73.720209,4.66,True,"411033, 412101",2,411033,Home,Ravet,273600
51,14,High,Ahmedabad,Gujarat,23.106218,72.474069,2.91,True,382722,1,382722,Home,Supercity bhadaj,212800
24,13,High,Bengaluru,Karnataka,12.882598,77.779605,5.71,True,562125,1,562125,"Home, Farmhouse",Sarjapur Main Road,197600
31,11,High,Bengaluru,Karnataka,13.058197,77.749393,2.55,True,560049,1,560049,Home,Budigere cross,167200
20,11,High,Pune,Maharashtra,18.610193,73.688425,3.89,True,410506,1,410506,"Home, Farmhouse","Near Kasarsai Dam, Chandkhed 410506",167200
19,10,High,Chennai,Tamil Nadu,12.852611,80.241559,1.79,True,603112,1,603112,"Home, Resort","Kanathur Reddykuppam, Tamil Nadu 603112",152000
4,8,Medium,Hyderabad,Telangana,17.289955,78.239919,3.03,True,501504,1,501504,"Farmhouse, Home",Kanakamamidi,121600
11,8,Medium,Navi Mumbai,Maharashtra,18.986819,73.121553,4.22,True,497586,1,497586,Home,New Panvel,121600
35,8,Medium,Surat,Gujarat,21.160659,72.652016,0.0,False,N/A,0,N/A,Home,Pal Tp 16,121600
2,7,Medium,Bengaluru,Karnataka,13.14173,77.676408,1.26,True,562149,1,562149,Home,Huvinayakanahalli,106400
30,6,Medium,Pune,Maharashtra,18.623414,73.918063,1.34,True,412105,1,412105,Home,Near DY Patil College,91200
33,6,Medium,Chennai,Tamil Nadu,12.918027,80.089328,3.26,True,600059,1,600059,"Home, Other","Bharathidasan Street, New Perungalathur",91200
5,6,Medium,Bengaluru,Karnataka,13.126391,77.567331,1.97,True,N/A,0,N/A,Home,"Sree Sai Layout,",91200
14,6,Medium,Hyderabad,Telangana,17.5439,78.369692,3.14,True,"500043, 500090",2,500043,Home,Near orr,91200
44,6,Medium,Pune,Maharashtra,18.410554,73.928469,3.24,True,"411048, 411060, 412301",3,411048,Home,411048,91200
46,6,Medium,Bengaluru,Karnataka,12.809072,77.678975,2.36,True,N/A,0,N/A,Home,"Bommasandra Industrial Area, Bommasandra",91200
38,5,Medium,Bengaluru,Karnataka,13.177089,77.56057,0.64,True,"560064, 560119",2,560064,Home,Doddaballapura Main Road,76000
36,5,Medium,Chennai,Tamil Nadu,13.109842,80.093773,1.71,True,N/A,0,N/A,Home,"Ayalcheri Avadi, Tamil Nadu",76000
18,5,Medium,Pune,Maharashtra,18.761246,73.647307,1.51,False,N/A,0,N/A,"Farmhouse, Home",Beside lane Mittal dairy,76000
7,5,Medium,Bengaluru,Karnataka,13.18957,77.633048,2.07,True,562157,1,562157,"Resort, Home, Farmhouse",Tatva villa by aurea stays,76000
34,5,Medium,Bengaluru,Karnataka,13.083192,77.406887,2.62,True,N/A,0,N/A,"Home, Resort, Farmhouse",Baba nagar,76000
54,5,Medium,Kolkata,West Bengal,22.60052,88.535823,1.03,True,N/A,0,N/A,Home,"Lake Town, Kolkata, West Bengal",76000
50,5,Medium,Chandigarh,Punjab,30.642181,76.872905,1.51,False,N/A,0,N/A,Home,"Guru Nanak Colony Rd, Guru Nanak Colony",76000
29,5,Medium,Pune,Maharashtra,18.585437,73.988911,2.21,True,N/A,0,N/A,"Home, Office","Lohegaon Road, Wagholi",76000
6,5,Medium,Ahmedabad,Gujarat,22.932548,72.417236,0.56,True,382213,1,382213,"Home, Farmhouse",Moti devti,76000
28,4,Low,Pune,Maharashtra,18.517671,73.679475,2.13,True,412115,1,412115,"Home, Farmhouse","Pirangut Rd, Ghotawade Phata, Bhare, Pirangut, Maharashtra",60800
17,4,Low,Bengaluru,Karnataka,12.759721,77.697539,0.48,True,562166,1,562166,"Home, Farmhouse","Marsur, Naganaikanahalli, Karnataka 562166",60800
21,4,Low,Chennai,Tamil Nadu,12.830604,80.167811,0.68,False,N/A,0,N/A,Other,"Mambakkam - Medavakkam Main Rd,",60800
25,4,Low,Bengaluru,Karnataka,12.881835,77.462953,1.08,True,560060,1,560060,Home,Kengeri,60800
